Conf. θₙ ; Φₙ,N=4,N=16,N=64,N=100
-45 ; 12,-88.91,-89.43,-88.75,-87.23
-45 ; 15,-88.98,-89.05,-89.22,-89.66
-45 ; 18,-89.0,-89.49,-89.45,-89.76
-45 ; 21,-88.91,-88.94,-87.28,-87.68
-45 ; 24,-88.89,-88.82,-86.65,-87.42
-45 ; 27,-88.73,-89.33,-86.38,-85.91
-45 ; 30,-88.73,-89.01,-88.75,-86.93
-45 ; 33,-88.73,-88.28,-85.97,-85.75
-45 ; 36,-88.77,-86.76,-86.75,-86.47
-45 ; 39,-88.74,-86.82,-88.55,-87.74
-45 ; 42,-88.72,-87.76,-89.41,-87.69
